ORDERDATE,PRICE,SALES,CITY,COUNTRY,PRODUCTLINE,CUSTOMERNAME,DEALSIZE,OCCUPATION,ANNUAL_INCOME,MONTH
2020-01-01,57.07,418.15,New York,Canada,Books,Customer_1,Medium,Manager,197744.81,1
2020-01-02,644.8,10358.27,Phoenix,Germany,Sports,Customer_2,Large,Doctor,227409.51,1
2020-01-03,73.79,457.56,Phoenix,Germany,Books,Customer_3,Large,Artist,29698.26,1
2020-01-04,736.49,7346.01,Chicago,UK,Toys,Customer_4,Small,Lawyer,233994.4,1
2020-01-05,543.7,3320.83,Los Angeles,Mexico,Electronics,Customer_5,Medium,Manager,137112.22,1
2020-01-06,206.6,504.09,New York,Canada,Food & Beverage,Customer_6,Large,Accountant,60762.45,1
2020-01-07,544.13,4479.79,Philadelphia,Canada,Toys,Customer_7,Medium,Engineer,142955.4,1
2020-01-08,191.17,929.41,San Antonio,Canada,Toys,Customer_8,Medium,Manager,168470.98,1
2020-01-09,444.35,571.59,Los Angeles,UK,Books,Customer_9,Large,Artist,63902.32,1
2020-01-10,801.56,3080.15,Los Angeles,Mexico,Electronics,Customer_10,Medium,Lawyer,200560.72,1
2020-01-11,467.3,4509.36,Phoenix,Canada,Electronics,Customer_11,Medium,Doctor,140067.96,1
2020-01-12,157.21,712.2,Phoenix,Canada,Food & Beverage,Customer_12,Medium,Artist,32660.4,1
2020-01-13,726.59,6202.85,Chicago,Mexico,Home & Garden,Customer_13,Large,Artist,61297.58,1
2020-01-14,194.9,1475.01,Chicago,Mexico,Toys,Customer_14,Medium,Engineer,79775.05,1
2020-01-15,741.16,4086.67,New York,Germany,Home & Garden,Customer_15,Large,Salesperson,60707.02,1
2020-01-16,484.56,1752.26,Chicago,USA,Automotive,Customer_16,Medium,Lawyer,212940.31,1
2020-01-17,459.2,1690.36,Dallas,USA,Beauty,Customer_17,Medium,Teacher,71358.1,1
2020-01-18,852.92,2249.78,Los Angeles,Canada,Clothing,Customer_18,Large,Artist,47195.71,1
